Geracao,Custo
0,8142.00
1,8142.00
2,8142.00
3,8142.00
4,8142.00
5,8142.00
6,8142.00
7,8142.00
8,8142.00
9,8142.00
10,8142.00
11,8142.00
12,8142.00
13,8142.00
14,8142.00
15,8142.00
16,8142.00
17,8142.00
18,8142.00
19,8142.00
20,8142.00
21,8142.00
22,8142.00
23,8142.00
24,8142.00
25,8142.00
26,8142.00
27,8142.00
28,8142.00
29,8142.00
30,8142.00
31,8142.00
32,8142.00
33,8142.00
34,8142.00
35,8142.00
36,8142.00
37,8142.00
38,8142.00
39,8142.00
40,8142.00
41,8142.00
42,8142.00
43,8142.00
44,8142.00
45,8142.00
46,8142.00
47,8142.00
48,8142.00
49,8142.00
50,8142.00
51,8142.00
52,8142.00
53,8142.00
54,8142.00
55,8142.00
56,8142.00
57,8142.00
58,8142.00
59,8142.00
60,8142.00
61,8142.00
62,8142.00
63,8142.00
64,8142.00
65,8142.00
66,8142.00
67,8142.00
68,8142.00
69,8142.00
70,8142.00
71,8142.00
72,8142.00
73,8142.00
74,8142.00
75,8142.00
76,8142.00
77,8142.00
78,8142.00
79,8142.00
80,8142.00
81,8142.00
82,8142.00
83,8142.00
84,8142.00
85,8142.00
86,8142.00
87,8142.00
88,8142.00
89,8142.00
90,8142.00
91,8142.00
92,8142.00
93,8142.00
94,8142.00
95,8142.00
96,8142.00
97,8142.00
98,8142.00
99,8142.00
100,8142.00
101,8142.00
102,8142.00
103,8142.00
104,8142.00
105,8142.00
106,8142.00
107,8142.00
108,8142.00
109,8142.00
110,8142.00
111,8142.00
112,8142.00
113,8142.00
114,8142.00
115,8142.00
116,8142.00
117,8142.00
118,8142.00
119,8142.00
120,8142.00
121,8142.00
122,8142.00
123,8142.00
124,8142.00
125,8142.00
126,8142.00
127,8142.00
128,8142.00
129,8142.00
130,8142.00
131,8142.00
132,8142.00
133,8142.00
134,8142.00
135,8142.00
136,8142.00
137,8142.00
138,8142.00
139,8142.00
140,8142.00
141,8142.00
142,8142.00
143,8142.00
144,8142.00
145,8142.00
146,8142.00
147,8142.00
148,8142.00
149,8142.00
150,8142.00
151,8142.00
152,8142.00
153,8142.00
154,8142.00
155,8142.00
156,8142.00
157,8142.00
158,8142.00
159,8142.00
160,8142.00
161,8142.00
162,8142.00
163,8142.00
164,8142.00
165,8142.00
166,8142.00
167,8142.00
168,8142.00
169,8142.00
170,8142.00
171,8142.00
172,8142.00
173,8142.00
174,8142.00
175,8142.00
176,8142.00
177,8142.00
178,8142.00
179,8142.00
180,8142.00
181,8142.00
182,8142.00
183,8142.00
184,8142.00
185,8142.00
186,8142.00
187,8142.00
188,8142.00
189,8142.00
190,8142.00
191,8142.00
192,8142.00
193,8142.00
194,8142.00
195,8142.00
196,8142.00
197,8142.00
198,8142.00
199,8142.00
200,8142.00
201,8142.00
202,8142.00
203,8142.00
204,8142.00
205,8142.00
206,8142.00
207,8142.00
208,8142.00
209,8142.00
210,8142.00
211,8142.00
212,8142.00
213,8142.00
214,8142.00
215,8142.00
216,8142.00
217,8142.00
218,8142.00
219,8142.00
220,8142.00
221,8142.00
222,8142.00
223,8142.00
224,8142.00
225,8142.00
226,8142.00
227,8142.00
228,8142.00
229,8142.00
230,8142.00
231,8142.00
232,8142.00
233,8142.00
234,8142.00
235,8142.00
236,8142.00
237,8142.00
238,8142.00
239,8142.00
240,8142.00
241,8142.00
242,8142.00
243,8142.00
244,8142.00
245,8142.00
246,8142.00
247,8142.00
248,8142.00
249,8142.00
250,8142.00
251,8142.00
252,8142.00
253,8142.00
254,8142.00
255,8142.00
256,8142.00
257,8142.00
258,8142.00
259,8142.00
260,8142.00
261,8142.00
262,8142.00
263,8142.00
264,8142.00
265,8142.00
266,8142.00
267,8142.00
268,8142.00
269,8142.00
